Roll,PI_Th,PI_Lab,PII_Th,PII_Lab,PIII_Th,PIII_Lab
img_2020091,3.32406746,1.766666667,6.480555733,5.5,4.768096,3.333333333
img_2020092,7.573670635,3,6.155555733,4.9,5.394999,3.333333333
img_2020093,5.493769841,4.333333333,5.7547224,5.5,0.495,3.333333333
img_2020094,5.241607143,0.866666667,6.305555733,4.6,6.6242853,3.333333333
img_2020095,6.486011905,0.75,5.852778133,4.75,5.75,0
img_2020096,5.522539683,0.75,6.175,4,5.3616663,0
img_2020097,5.157857143,0,7.175,5.5,6.6116663,3
img_2020098,4.699126984,6.5,6.278610933,5.5,5.193333,6.666666667
img_2020099,7.897123016,1.5,7.863889067,4,6.1916663,1.666666667
img_2020100,3.918214286,0,6.058333333,1.75,4.333333,1.666666667
img_2020101,5.576289683,4.7,6.0472224,7.35,4.7716663,3.333333333
img_2020102,4.696150794,3.266666667,6.2027776,5.5,3.908333,3.333333333
img_2020103,5.171289683,11.2,7.625,8.5,5.353333,6.666666667
img_2020104,7.075218254,2.25,6.588889067,5.35,5.6049996,3.333333333
img_2020105,5.852400794,4.333333333,8.5222224,5.5,5.958333,6.666666667
img_2020106,4.481150794,0.75,5.474166667,4.5,3.3616663,3.333333333
img_2020107,1.471746032,0,1.850833333,0,-0.3830956,0
img_2020108,0.191388889,0,7.326666667,4,3.92,-5
img_2020109,8.920892857,7,8.533333333,5.5,8.041666,6.666666667
img_2020110,7.281825397,4.333333333,6.025,3,7.316667,3.333333333
img_2020111,1.393968254,0,4.2,1,1.996667,0
img_2020112,3.489246032,3,9.111110933,7.5,6.516667,3.333333333
img_2020113,6.438095238,4.916666667,8.963889067,5.5,10.896667,3.333333333
img_2020114,1.690853175,0.266666667,6.5527776,1.5,-0.58,1.666666667
img_2020115,6.299464286,11.2,8.5302,15,7.791666,8.333333333
img_2020116,4.554781746,6.733333333,7.061110933,10.1,11.5166667,6.666666667
img_2020117,3.623531746,3,5.313055733,1.5,1.608333,6
img_2020118,5.44547619,3.266666667,6.394444267,7.95,5.5,-5
img_2020119,5.254166667,2.083333333,2.208333333,3.25,3.038333,1.666666667
img_2020120,6.918214286,4.333333333,7.7472224,7.5,5.130833,3.333333333
img_2020121,-1.963789683,5.133333333,5.111110933,11,6.42,3.333333333
img_2020122,7.381706349,0,4.041666667,4,5.105,0
img_2020123,0.22875,0,3.130555733,5.35,4.788333,1.666666667
img_2020124,3.854246032,0.75,4.125,3.1,4.8716663,0
img_2020125,0.902460317,0,0.844444267,0,2.92,0
imt_2020001,7.468928571,3.266666667,5.943610933,5.5,6.018333,3.333333333
imt_2020002,1.542460317,2.033333333,5.883889067,1,4.535714,3.333333333
imt_2020003,4.895019841,0.6,6.95,5.05,3.67,1.666666667
imt_2020004,8.092559524,10,7.641666667,9.5,12.061667,6.666666667
imt_2020005,5.662380952,2.533333333,7.0777776,5.35,6.8133333,3
imt_2020006,6.655416667,0,5.655555733,7.5,4.663333,3.333333333
imt_2020007,5.324484127,0,5.65,0,4.2716663,0
imt_2020008,7.925515873,0,6.6777776,0,3.708333,0
imt_2020009,3.843333333,1.5,5.113889067,5.5,3.458333,3.333333333
imt_2020010,6.160972222,2.833333333,6.575000533,4.15,1.076667,3.333333333
imt_2020011,1.982281746,1.5,4.363889067,5.05,-0.011667,3.333333333
imt_2020012,7.127003968,3.8,7.667111467,5.5,5.408333,3.333333333
imt_2020013,5.2275,0,6.841666667,3.25,4.168333,2.666666667
imt_2020014,1.911031746,13.53333333,9.055555733,11.8,9.516667,9.333333333
imt_2020015,4.908194444,4.916666667,6.675833333,4,5.600833,3.333333333
imt_2020016,3.044265873,0,3.721389067,1,1.125,0
imt_2020017,5.931170635,3,6.185833333,5.5,5.3249996,3.333333333
imt_2020018,6.960337302,4.333333333,6.166666667,5.5,6.7316667,-5
imt_2020019,4.440257937,0,5.333333333,0,2.8716663,1.666666667
imt_2020020,0.140138889,0,3.983333333,0,0,0
imt_2020021,3.388134921,3,5.825,5.5,4.238333,3.333333333
imt_2020022,4.389603175,1.766666667,8.7647224,5.05,8.826667,3.333333333
imt_2020023,2.513392857,0,1.466666667,0,2.16,0
imt_2020024,2.27281746,0,6.994444267,2.5,4.5633333,1.333333333
imt_2020025,4.849285714,0,4.161666667,2.5,4.951667,1.666666667
imt_2020026,8.495218254,6.733333333,6.6422224,7.5,6.6499993,3.333333333
imt_2020027,1.765496032,1.5,7.016666667,5.5,4.958333,1.666666667
imt_2020028,6.298571429,3.583333333,6.7,4,1.1333333,3.333333333
imt_2020029,4.350337302,4.333333333,5.2972224,4.5,-0.011667,3.333333333
imt_2020030,8.988194444,7,9.617111467,6.7,9.83,9.333333333
imt_2020031,6.653869048,6.733333333,6.866666667,7,5.063333,3.333333333
imt_2020032,5.336944444,4.333333333,8.2472224,5.5,6.133333,3.333333333
imt_2020033,6.038571429,4.333333333,6.075,1.5,3.318095,3.333333333
imt_2020034,6.344265873,3,6.1527776,5.5,3.1633333,6.666666667
imt_2020035,7.012936508,3,6.633333333,4.9,6.065,3.333333333
imt_2020036,1.266388889,0,3.733333333,0,4.318333,0
imt_2020037,0.581388889,0,4.139444267,5.5,3.3500003,-5
imt_2020038,1.550138889,2.25,4.694444267,5.05,3.738333,1.666666667
imt_2020039,10.80214286,5.266666667,9.05,7.5,7.91,6.666666667
imt_2020040,1.787996032,3,6.633333333,5.5,4.825,3.333333333
imt_2020041,4.611646825,1.5,7.0722224,4,4.175833,0
imt_2020042,3.153531746,0,5.1972224,5.5,4.2033333,3.333333333
imt_2020043,4.461587302,3.266666667,5.083333333,5.35,5.7033333,3
imt_2020044,1.346746032,0,4.033333333,3.25,4.1133333,1.666666667
imt_2020045,5.479444444,4.333333333,8.033333333,5.5,4.861667,3.333333333
imt_2020046,2.561031746,1.5,5.567111467,5.5,3.26,3.333333333
imt_2020047,6.439345238,6.033333333,6.025,5.5,6.020476,3.333333333
imt_2020048,4.309404762,3.466666667,6.633333333,5.5,4.678333,1.666666667
imt_2020049,6.760694444,9.716666667,9.013889067,7.1,5.388333,6.666666667
imt_2020050,2.701388889,0.75,5.358333333,1,2.58,3.333333333
imt_2020051,3.864761905,3,6.566666667,5.5,2.3716667,3.333333333
imt_2020052,7.143988095,5.666666667,8.925,5.35,7.1249996,6.666666667
imt_2020053,5.122539683,0,4.65,2.5,2.75,1.666666667
imt_2020054,2.846924603,0,7.3222224,5.5,6.606667,3.333333333
imt_2020055,6.004126984,1.5,4.581666667,5.5,3.708333,3.333333333
imt_2020056,1.768353175,0.75,5.244833333,3.55,3.020476,1.666666667
imt_2020057,5.445456349,6.6,7.825,5.5,4.3283333,3.333333333
imt_2020058,5.17547619,3,6.7825,5.5,4.65,3.333333333
imt_2020059,3.27422619,0,5.166666667,2.5,4.1233333,0
imt_2020060,3.03547619,0,2.666666667,0,-0.3783337,0
imt_2020061,6.855892857,0,8.508333333,0.15,3.92,0
imt_2020062,4.396388889,3.583333333,5.730555733,5.5,5.43,3.333333333
imt_2020063,2.761924603,4.333333333,7.605555733,5.5,6.45,3.333333333
imt_2020064,7.371448413,3.866666667,7.8754448,2.5,4.67,0
imt_2020065,5.759206349,2.25,5.133333333,3.25,1.663333,3
imt_2020066,4.811448413,0,6.85,3.85,4.666667,3
imt_2020067,2.699781746,7.533333333,9.863889067,8.7,5.109999,3.333333333
imt_2020068,0.979781746,3,5.908333333,4.3,6.975,3.333333333
imt_2020069,6.878214286,10.33333333,8.646389067,10.4,9.596667,6.666666667
imt_2020070,-2.025039683,0,7.2027776,1.5,5.098572,1.666666667
imt_2020071,6.725892857,2.25,7.488889067,5.5,6.75,2.666666667
imt_2020072,9.754404762,6.2,6.286944267,5.3,14.086667,6.666666667
imt_2020073,4.526210317,1.5,5.3127776,5.5,4.18,3.333333333
imt_2020074,5.507380952,6.133333333,10.49166667,4.9,5.25,6.666666667
imt_2020075,5.314980159,9.866666667,6.631389067,8.7,6.785,6.666666667
imt_2020076,7.097242063,0,6.186110933,2.5,4.416667,0
imt_2020077,3.784246032,5.133333333,8.3444448,5.5,6.5733333,5.333333333
imt_2020078,6.681865079,4.333333333,9.4722224,5.5,5.933334,6.666666667
imt_2020079,3.267638889,4.166666667,6.891666667,3.55,4.583333,3.333333333
imt_2020080,0.917996032,1.05,4.338888533,5.5,2.8716663,3.333333333
imt_2020081,8.768214286,8.533333333,8.3724448,9.1,7.2000003,2.666666667
imt_2020082,4.915178571,1.5,5.166666667,5.35,3.858333,3.333333333
imt_2020083,7.511170635,9.866666667,4.491666667,7.1,3.08,6.666666667
imt_2020084,4.999642857,0,5.491666667,4,4.756667,1.666666667
imt_2020085,5.58359127,0,8.411110933,2.5,5.706666,3.333333333
imt_2020086,6.351428571,0.45,8.684166667,2.8,5.9916663,3.333333333
imt_2020087,5.705019841,0,6.003610933,2.5,3.98,1.666666667
imt_2020088,2.266031746,0,3.545,2.5,2.33,-5
imt_2020089,6.168789683,4.333333333,7.158333333,5.5,5.4083333,3.333333333
imt_2020090,1.54406746,1.5,6.999166667,2.25,6.177143,2.666666667
imt_2020091,0.111388889,0,5.108333333,0.75,2.788333,0
imt_2020092,5.822063492,0.266666667,3.76,3.25,4.813333,0
imt_2020093,1.711031746,1.5,4.975,1,4.6233333,3.333333333
imt_2020094,9.871845238,7.533333333,9.013889067,11.5,10.261904,10
imt_2020095,6.337619048,0.45,6.922444267,2.5,6.593333,1.666666667
imt_2020096,1.72375,0,5.598055733,0,3.92,0
imt_2020097,5.724583333,0.3,4.8425,4,1.0591666,0
imt_2020098,2.131031746,0.75,4.630555733,5.2,3.988333,3.333333333
imt_2020099,4.989503968,0,3.772221867,0,3.638333,0
imt_2020100,4.546230159,4.35,5.409166667,5.5,3.9616663,1.666666667
imt_2020101,7.931289683,3.533333333,5.116666667,5.35,6.25,2.666666667
imt_2020102,6.836626984,1.933333333,8.194444267,4.9,1.8666667,3.333333333
imt_2020103,4.246170635,0,4.016666667,0,3.488333,-5
imt_2020104,2.47531746,2.833333333,8.805555733,5.5,4.508333,6.666666667
imt_2020105,4.970019841,1.5,7.608333333,3.25,4.958333,3.333333333
imt_2020106,2.738531746,4.916666667,6.988889067,6.3,4.18,3.333333333
imt_2020107,7.831309524,2.833333333,6.958333333,-2,4.37,6
imt_2020108,5.54281746,1.5,7.05,5.5,5.6033333,3.333333333
imt_2020109,7.167718254,4.333333333,6.4,4.9,5.866667,-5
imt_2020110,6.151428571,1.5,7.685,4.75,5.206667,1.333333333
imt_2020111,7.139325397,7.533333333,8.038889067,8.3,4.3216663,3.333333333
imt_2020112,6.450734127,8,7.566666667,5.5,6.611667,2
imt_2020113,7.379662698,4.333333333,8.566666667,8.3,4.371666,8.333333333
imt_2020114,1.298888889,3,5.441666667,5.5,4.263333,1.666666667
imt_2020115,6.261071429,5.5,8.3307776,4,-0.9716677,3.333333333
imt_2020116,4.591845238,1.766666667,5.175,1.5,0.013333,3.333333333
imt_2020117,6.185079365,3,9.713889067,8.7,9.785,6.666666667
imt_2020118,0.973174603,0.75,5.9,4.5,5.041666,1.666666667
imt_2020119,6.737599206,0,4.3877776,3.75,-3.4583337,3.333333333
imt_2020120,7.680337302,0.75,8.6,4,8.083333,-5
imt_2020121,6.702281746,4.333333333,8.033333333,5.5,4.511666,3.333333333
imt_2020122,7.375138889,4.333333333,6.944444267,6.3,8.91,6.666666667
imt_2020123,5.815813492,0,7.303333333,0,2.688333,0
imt_2020124,5.183174603,2.383333333,4.808333333,3.25,3.288333,0
imt_2020125,7.401626984,5.666666667,3.25,7.35,8.5633333,6.666666667
imt_2020126,4.063650794,2.683333333,7.3,4.75,4.9416663,3.333333333
imt_2020127,1.712996032,1.016666667,5.291666667,4.5,3.455,3
imt_2020128,7.158412698,5.666666667,9.1147224,10.3,6.271905,6.666666667
imt_2020129,4.68890873,0,6.363889067,0,4.6785713,0
imt_2020130,7.52015873,3,6.725,5.7,8.138334,3.333333333
imt_2020131,2.532281746,1.5,6.235,5.5,3.33,3.333333333
imt_2020132,7.624642857,3,9.828333333,5.5,6.846667,3.333333333
imt_2020133,7.159345238,11.66666667,6.4575,11.5,7.4116663,10
imt_2020134,5.498948413,3.583333333,7.083333333,6.3,4.2633333,6.666666667
imt_2020135,7.69922619,2.833333333,5.936944267,0,2.858333,6
imt_2020136,6.294186508,10.93333333,6.700833333,11.1,9.1,9
imt_2020137,6.523948413,4.333333333,5.4297224,5.5,1.498333,3.333333333
imt_2020138,9.419087302,4.333333333,9.5472224,7.2,8.5,3.333333333
imt_2020139,9.518809524,9.333333333,8.033333333,4.2,5.0130953,6.666666667
imt_2020140,7.57077381,5.666666667,11.0666672,11,8.378333,10
imt_2020141,5.189603175,0.75,5.336666667,1.75,0.861667,0
imt_2020142,0.165138889,0,2.075,5.5,2.538333,-5
imt_2020143,5.961686508,3.15,7.664333333,5.35,6.925,6.666666667
imt_2020144,7.261428571,9.466666667,5.65,6.7,5.98,3.333333333
imt_2020145,5.953928571,0,6.566666667,2.5,4.2716663,3
imt_2020146,4.030257937,0.75,6.7777776,2.65,4.11,1.666666667
imt_2020147,5.325515873,3.583333333,7.933333333,5.5,5.65,6.666666667
imt_2020148,5.104464286,2.083333333,3.341666667,2.6,0.638333,3
imt_2020149,3.46359127,0,6.716666667,1.45,3.738333,1.333333333
imt_2020150,2.630496032,0,5.05,1,6.67,0
